task,init_index,success,completion_rate,total_plan_ms,total_exec_ms,total_steps,wall_ms,seg0_plan_ms,seg0_exec_ms,seg0_ok,seg1_plan_ms,seg1_exec_ms,seg1_ok,seg2_plan_ms,seg2_exec_ms,seg2_ok,seg3_plan_ms,seg3_exec_ms,seg3_ok,seg4_plan_ms,seg4_exec_ms,seg4_ok,seg5_plan_ms,seg5_exec_ms,seg5_ok,seg6_plan_ms,seg6_exec_ms,seg6_ok,fail_reason
pick_up_the_milk_and_place_it_in_the_basket,0,1,1.0000,8186.6,12900.9,627,22033.9,7517.7,85.9,1,116.3,1665.3,1,106.9,2479.1,1,111.9,1813.9,1,105.9,2810.2,1,121.8,2705.5,1,106.1,1340.9,1,
pick_up_the_milk_and_place_it_in_the_basket,1,1,1.0000,808.5,13315.0,640,15063.4,115.4,82.7,1,109.0,1698.0,1,109.0,2570.1,1,102.7,1786.2,1,106.0,2993.7,1,159.9,2826.7,1,106.5,1357.6,1,
pick_up_the_milk_and_place_it_in_the_basket,2,1,1.0000,886.5,12820.4,627,14668.4,111.7,80.5,1,175.0,1840.8,1,119.9,2340.4,1,106.5,1665.8,1,107.7,2760.5,1,158.9,2734.4,1,106.8,1397.9,1,
pick_up_the_milk_and_place_it_in_the_basket,3,1,1.0000,819.8,13827.0,673,15609.4,123.8,90.0,1,112.7,1978.6,1,109.7,2605.5,1,105.6,1974.1,1,105.8,3108.0,1,159.9,2740.8,1,102.3,1329.9,1,
pick_up_the_milk_and_place_it_in_the_basket,4,1,1.0000,814.9,13511.8,659,15268.8,120.5,90.7,1,113.2,2384.9,1,113.9,2209.2,1,104.4,1527.3,1,101.6,3228.2,1,154.9,2733.2,1,106.4,1338.2,1,
pick_up_the_milk_and_place_it_in_the_basket,5,1,1.0000,834.9,13510.2,659,15293.3,122.9,89.8,1,112.2,1727.5,1,110.5,2594.8,1,111.7,1975.9,1,112.0,3009.0,1,157.7,2746.6,1,107.8,1366.6,1,
pick_up_the_milk_and_place_it_in_the_basket,6,1,1.0000,851.1,13436.8,651,15247.5,131.6,81.4,1,110.3,1490.1,1,111.9,2608.7,1,101.2,2008.2,1,144.9,3106.6,1,147.2,2773.1,1,104.0,1368.7,1,
pick_up_the_milk_and_place_it_in_the_basket,7,1,1.0000,816.7,12567.6,614,14347.0,115.9,80.8,1,110.8,1432.7,1,114.5,2399.8,1,108.4,1778.2,1,107.3,2698.8,1,151.0,2809.9,1,108.7,1367.4,1,
pick_up_the_milk_and_place_it_in_the_basket,8,1,1.0000,883.5,13398.4,641,15283.6,126.9,92.0,1,123.0,1609.9,1,119.0,2576.8,1,107.0,1880.1,1,111.0,3000.1,1,176.5,2894.5,1,120.1,1345.0,1,
pick_up_the_milk_and_place_it_in_the_basket,9,1,1.0000,841.9,14078.4,688,15945.3,128.9,91.0,1,113.4,2401.6,1,114.0,2382.0,1,113.5,1801.3,1,105.8,3323.0,1,152.6,2723.6,1,113.7,1356.0,1,
pick_up_the_milk_and_place_it_in_the_basket,10,1,1.0000,842.6,13931.3,679,15751.6,124.0,90.4,1,113.0,2206.5,1,114.9,2467.9,1,107.6,1761.5,1,103.9,3214.1,1,163.8,2758.1,1,115.3,1432.8,1,
pick_up_the_milk_and_place_it_in_the_basket,11,1,1.0000,862.7,14014.5,665,15850.8,136.8,88.8,1,124.0,2142.1,1,109.0,2588.3,1,114.7,1852.6,1,108.9,3200.8,1,164.1,2732.8,1,105.3,1409.2,1,
pick_up_the_milk_and_place_it_in_the_basket,12,1,1.0000,823.1,13546.2,645,15412.1,119.1,83.9,1,109.5,1641.5,1,116.1,2685.5,1,108.6,1976.9,1,109.8,2984.5,1,153.0,2832.2,1,106.9,1341.7,1,
pick_up_the_milk_and_place_it_in_the_basket,13,1,1.0000,841.8,13440.8,655,15251.9,122.4,91.2,1,116.1,1746.1,1,115.1,2502.8,1,105.4,1903.3,1,107.4,3002.6,1,162.0,2782.7,1,113.3,1412.1,1,
pick_up_the_milk_and_place_it_in_the_basket,14,1,1.0000,873.9,13068.0,634,14902.0,123.5,90.8,1,117.0,1708.1,1,107.4,2407.2,1,113.2,1723.1,1,113.4,2998.0,1,183.5,2746.8,1,115.9,1394.0,1,
pick_up_the_milk_and_place_it_in_the_basket,15,1,1.0000,842.9,13776.6,663,15601.1,115.4,80.3,1,105.1,2356.9,1,113.9,2241.6,1,118.9,1584.6,1,106.7,3281.0,1,172.0,2816.5,1,110.9,1415.7,1,
pick_up_the_milk_and_place_it_in_the_basket,16,1,1.0000,886.2,13109.4,639,14972.9,158.8,91.8,1,112.8,1725.8,1,107.5,2441.8,1,109.9,1767.8,1,116.0,2963.3,1,162.8,2745.0,1,118.4,1374.0,1,
pick_up_the_milk_and_place_it_in_the_basket,17,1,1.0000,842.7,13752.5,663,15600.7,124.6,90.7,1,115.0,2246.4,1,115.8,2384.8,1,108.8,1617.1,1,102.5,3391.1,1,168.4,2683.3,1,107.7,1339.0,1,
pick_up_the_milk_and_place_it_in_the_basket,18,1,1.0000,893.3,13545.0,659,15443.1,119.1,90.2,1,112.5,1825.7,1,112.2,2513.3,1,157.5,2002.1,1,114.7,3011.2,1,169.4,2750.9,1,107.9,1351.5,1,
pick_up_the_milk_and_place_it_in_the_basket,19,1,1.0000,928.2,14949.6,675,16913.8,140.2,88.4,1,124.6,2373.6,1,129.3,2630.0,1,120.8,2060.1,1,125.3,3445.8,1,165.2,2915.2,1,123.0,1436.6,1,
pick_up_the_milk_and_place_it_in_the_basket,20,1,1.0000,856.5,12953.8,632,14816.0,123.4,89.6,1,110.8,1682.8,1,114.5,2392.9,1,107.4,1685.5,1,105.7,3080.6,1,185.7,2691.4,1,109.2,1331.0,1,
pick_up_the_milk_and_place_it_in_the_basket,21,1,1.0000,847.6,13355.7,637,15182.4,125.2,91.1,1,116.7,1837.2,1,115.2,2370.2,1,109.0,1706.6,1,108.4,3123.6,1,164.4,2817.8,1,108.6,1409.3,1,
pick_up_the_milk_and_place_it_in_the_basket,22,1,1.0000,884.6,12670.6,602,14559.6,126.7,90.3,1,116.9,1367.8,1,114.0,2319.4,1,109.4,1702.2,1,108.5,2660.6,1,182.2,3017.7,1,126.9,1512.6,1,
pick_up_the_milk_and_place_it_in_the_basket,23,1,1.0000,835.4,12649.1,615,14454.3,122.8,82.2,1,107.5,1452.5,1,121.7,2388.9,1,108.3,1742.7,1,108.8,2738.7,1,156.3,2804.1,1,110.0,1440.0,1,
pick_up_the_milk_and_place_it_in_the_basket,24,1,1.0000,880.6,13498.3,657,15345.4,122.7,81.3,1,107.5,1722.3,1,107.8,2606.6,1,114.0,1924.1,1,106.9,3045.3,1,158.3,2777.8,1,163.4,1340.8,1,
pick_up_the_milk_and_place_it_in_the_basket,25,1,1.0000,837.9,12420.0,613,14215.8,124.6,80.3,1,104.1,1541.0,1,109.0,2323.1,1,104.4,1690.1,1,110.4,2793.3,1,172.7,2671.2,1,112.8,1321.0,1,
pick_up_the_milk_and_place_it_in_the_basket,26,1,1.0000,969.4,14824.6,663,16914.4,143.8,101.3,1,134.6,2203.0,1,131.3,2651.1,1,128.0,1951.3,1,127.1,3416.2,1,175.6,2953.6,1,129.0,1548.1,1,
pick_up_the_milk_and_place_it_in_the_basket,27,1,1.0000,977.5,14612.6,671,16581.4,144.1,87.6,1,122.8,2249.7,1,126.9,2699.8,1,130.0,1906.7,1,126.0,3466.7,1,164.3,2791.1,1,163.2,1411.0,1,
pick_up_the_milk_and_place_it_in_the_basket,28,1,1.0000,949.0,13755.8,640,15711.2,134.6,87.1,1,122.0,2138.0,1,124.2,2443.7,1,159.4,1613.9,1,128.6,3259.8,1,166.1,2768.1,1,114.2,1445.2,1,
pick_up_the_milk_and_place_it_in_the_basket,29,1,1.0000,848.2,13119.5,645,14943.1,130.0,80.3,1,107.6,2018.2,1,109.6,2235.6,1,115.2,1622.3,1,126.8,3078.3,1,146.0,2735.4,1,113.0,1349.3,1,
pick_up_the_milk_and_place_it_in_the_basket,30,1,1.0000,888.7,13161.0,645,14984.5,117.5,89.9,1,160.9,1762.1,1,114.4,2460.0,1,114.6,1829.7,1,111.5,2926.2,1,165.0,2732.0,1,104.9,1361.2,1,
pick_up_the_milk_and_place_it_in_the_basket,31,1,1.0000,922.4,14310.7,679,16235.8,129.3,89.0,1,114.8,2401.2,1,108.7,2302.6,1,109.8,1730.9,1,110.2,3299.9,1,216.4,3006.3,1,133.4,1480.9,1,
pick_up_the_milk_and_place_it_in_the_basket,32,1,1.0000,844.2,13627.6,665,15440.3,124.4,89.4,1,117.0,2092.1,1,111.0,2376.4,1,114.5,1763.7,1,108.5,3198.8,1,155.7,2692.3,1,113.1,1414.9,1,
pick_up_the_milk_and_place_it_in_the_basket,33,1,1.0000,832.1,13858.7,668,15663.8,123.8,91.1,1,111.7,1967.5,1,107.0,2561.0,1,110.1,1908.2,1,108.7,3072.3,1,165.2,2846.7,1,105.7,1411.9,1,
pick_up_the_milk_and_place_it_in_the_basket,34,1,1.0000,846.5,13724.2,661,15541.9,126.7,90.8,1,115.0,2248.1,1,113.1,2339.8,1,105.5,1634.1,1,112.1,3251.9,1,166.8,2747.9,1,107.3,1411.6,1,
pick_up_the_milk_and_place_it_in_the_basket,35,1,1.0000,902.4,13679.1,649,15599.6,124.1,92.7,1,114.4,1734.7,1,117.1,2524.4,1,103.8,1917.8,1,109.6,2997.0,1,197.8,2946.1,1,135.7,1466.5,1,
pick_up_the_milk_and_place_it_in_the_basket,36,1,1.0000,900.8,14544.7,670,16441.1,138.6,90.1,1,125.3,2427.4,1,125.8,2562.2,1,122.7,1850.4,1,124.6,3543.8,1,149.1,2676.1,1,114.8,1394.7,1,
pick_up_the_milk_and_place_it_in_the_basket,37,1,1.0000,837.2,13437.9,655,15254.6,119.1,81.3,1,104.7,1922.8,1,115.6,2474.7,1,113.0,1795.4,1,107.4,3117.7,1,163.2,2720.1,1,114.3,1325.8,1,
pick_up_the_milk_and_place_it_in_the_basket,38,1,1.0000,827.8,13323.4,646,15124.5,123.5,91.2,1,109.6,2018.4,1,107.4,2325.8,1,115.8,1637.3,1,102.7,3183.5,1,153.1,2718.0,1,115.7,1349.2,1,
pick_up_the_milk_and_place_it_in_the_basket,39,1,1.0000,885.7,13439.7,647,15289.0,128.3,92.7,1,114.8,2005.5,1,148.0,2315.8,1,105.5,1630.1,1,107.4,3243.9,1,166.4,2767.2,1,115.4,1384.7,1,
pick_up_the_milk_and_place_it_in_the_basket,40,1,1.0000,857.2,13460.3,653,15269.3,123.6,89.3,1,110.5,1862.8,1,107.6,2494.8,1,106.9,1753.2,1,112.1,3055.2,1,182.9,2795.1,1,113.7,1410.0,1,
pick_up_the_milk_and_place_it_in_the_basket,41,1,1.0000,851.7,13237.9,634,15070.0,122.6,80.9,1,107.9,1692.6,1,113.6,2350.2,1,114.5,1763.0,1,110.7,3015.9,1,167.8,2963.0,1,114.5,1372.3,1,
pick_up_the_milk_and_place_it_in_the_basket,42,1,1.0000,814.3,13792.9,665,15574.6,115.3,81.3,1,104.6,1907.9,1,107.5,2617.9,1,111.2,1943.9,1,106.6,3093.9,1,154.7,2758.3,1,114.3,1389.7,1,
pick_up_the_milk_and_place_it_in_the_basket,43,1,1.0000,844.2,13838.5,657,15683.3,117.0,80.3,1,104.3,1891.0,1,104.5,2522.1,1,114.7,1796.6,1,107.0,3074.1,1,165.1,2958.7,1,131.5,1515.6,1,
pick_up_the_milk_and_place_it_in_the_basket,44,1,1.0000,921.3,14271.1,640,16254.4,131.3,82.9,1,118.1,2186.1,1,124.3,2474.7,1,133.3,1734.9,1,125.0,3251.6,1,156.8,2981.1,1,132.5,1559.9,1,
pick_up_the_milk_and_place_it_in_the_basket,45,1,1.0000,924.0,14462.5,656,16444.8,131.1,86.0,1,119.0,1837.9,1,123.3,2750.0,1,133.5,2089.5,1,121.0,3255.3,1,173.0,2971.9,1,123.0,1471.8,1,
pick_up_the_milk_and_place_it_in_the_basket,46,1,1.0000,831.6,12874.9,632,14668.0,124.6,89.6,1,111.2,1744.4,1,111.4,2244.6,1,102.7,1663.3,1,105.8,2985.6,1,168.9,2758.5,1,107.1,1388.9,1,
pick_up_the_milk_and_place_it_in_the_basket,47,1,1.0000,838.3,13384.1,650,15183.1,125.6,93.5,1,116.7,1773.1,1,114.1,2507.7,1,105.0,1877.7,1,105.9,2951.7,1,164.6,2814.7,1,106.4,1365.8,1,
pick_up_the_milk_and_place_it_in_the_basket,48,1,1.0000,850.8,13647.3,662,15501.0,126.9,91.1,1,118.1,1918.1,1,115.6,2524.8,1,107.5,1916.6,1,108.3,3088.9,1,163.4,2752.1,1,111.0,1355.8,1,
pick_up_the_milk_and_place_it_in_the_basket,49,1,1.0000,910.3,12986.0,639,14867.7,181.8,101.4,1,114.2,1368.8,1,112.2,2524.4,1,104.4,1934.8,1,103.7,2946.4,1,187.5,2739.3,1,106.4,1370.8,1,
pick_up_the_orange_juice_and_place_it_in_the_basket,0,1,1.0000,830.5,12058.1,610,13854.9,116.1,79.9,1,104.9,1539.6,1,154.3,2201.5,1,109.6,1621.6,1,109.4,2592.6,1,122.4,2650.9,1,113.8,1371.9,1,
pick_up_the_orange_juice_and_place_it_in_the_basket,1,1,1.0000,840.6,12712.6,638,14528.6,128.1,89.9,1,109.3,2753.1,1,156.0,2111.5,1,119.8,1491.1,1,107.4,2296.3,1,115.5,2631.3,1,104.6,1339.3,1,
