task,init_index,success,completion_rate,total_plan_ms,total_exec_ms,total_steps,wall_ms,seg0_plan_ms,seg0_exec_ms,seg0_ok,seg1_plan_ms,seg1_exec_ms,seg1_ok,seg2_plan_ms,seg2_exec_ms,seg2_ok,seg3_plan_ms,seg3_exec_ms,seg3_ok,seg4_plan_ms,seg4_exec_ms,seg4_ok,seg5_plan_ms,seg5_exec_ms,seg5_ok,seg6_plan_ms,seg6_exec_ms,seg6_ok,fail_reason
pick_up_the_butter_and_place_it_in_the_basket,0,1,1.0000,8691.7,15005.6,729,24651.9,8046.7,96.9,1,105.3,2046.7,1,106.9,3127.1,1,110.4,2322.3,1,111.4,3211.0,1,105.2,2755.6,1,105.8,1446.1,1,
pick_up_the_butter_and_place_it_in_the_basket,1,1,1.0000,884.9,16003.6,742,17878.6,132.2,86.2,1,122.8,2217.8,1,114.0,3212.8,1,122.1,2537.1,1,110.8,3708.2,1,165.1,2840.8,1,118.0,1400.6,1,
pick_up_the_butter_and_place_it_in_the_basket,2,1,1.0000,872.4,14646.0,704,16515.4,138.3,104.1,1,118.4,2348.6,1,108.8,2878.9,1,108.1,2127.2,1,109.6,3252.7,1,180.2,2532.3,1,109.1,1402.1,1,
pick_up_the_butter_and_place_it_in_the_basket,3,1,1.0000,847.9,14078.2,676,15930.6,124.1,96.3,1,113.7,1540.2,1,110.6,2995.2,1,106.8,2252.3,1,113.4,2807.3,1,161.3,2792.9,1,118.1,1594.1,1,
pick_up_the_butter_and_place_it_in_the_basket,4,1,1.0000,850.4,15187.0,726,17018.0,113.7,82.2,1,106.7,2628.2,1,126.5,2908.5,1,110.3,2078.4,1,105.0,3269.7,1,175.8,2739.2,1,112.5,1480.8,1,
pick_up_the_butter_and_place_it_in_the_basket,5,1,1.0000,814.6,15921.6,751,17794.7,118.0,77.1,1,104.4,2246.3,1,105.3,3288.5,1,116.7,2498.6,1,102.7,3972.7,1,162.0,2407.4,1,105.4,1431.0,1,
pick_up_the_butter_and_place_it_in_the_basket,6,1,1.0000,914.7,16499.3,740,18431.1,137.4,98.0,1,129.2,2400.6,1,123.9,3436.5,1,133.5,2526.4,1,125.2,3738.2,1,159.7,2839.9,1,105.8,1459.8,1,
pick_up_the_butter_and_place_it_in_the_basket,7,1,1.0000,825.2,14919.9,705,16770.1,121.1,89.1,1,109.6,2042.7,1,107.8,3050.4,1,115.1,2205.5,1,106.4,3209.1,1,158.9,2833.9,1,106.2,1489.0,1,
pick_up_the_butter_and_place_it_in_the_basket,8,1,1.0000,831.5,15098.0,721,16909.1,115.1,83.4,1,108.2,2258.0,1,111.6,2948.1,1,106.6,2117.6,1,105.5,3397.6,1,171.3,2872.4,1,113.2,1420.9,1,
pick_up_the_butter_and_place_it_in_the_basket,9,1,1.0000,971.5,15335.2,693,17339.1,174.4,87.5,1,118.7,2126.9,1,125.5,3241.9,1,132.3,2409.5,1,126.9,3476.8,1,169.2,2565.2,1,124.6,1427.5,1,
pick_up_the_butter_and_place_it_in_the_basket,10,1,1.0000,892.8,14401.6,693,16300.4,195.3,81.1,1,105.9,1388.2,1,109.3,3250.5,1,103.7,2600.3,1,109.0,2943.2,1,155.5,2700.6,1,114.2,1437.7,1,
pick_up_the_butter_and_place_it_in_the_basket,11,1,1.0000,827.3,14813.1,705,16664.8,122.3,92.8,1,112.0,2153.0,1,107.7,2955.9,1,108.1,2202.1,1,112.2,3166.1,1,157.8,2806.5,1,107.1,1436.7,1,
pick_up_the_butter_and_place_it_in_the_basket,12,1,1.0000,827.5,14793.6,705,16599.6,123.3,89.9,1,113.5,1654.4,1,110.2,3305.2,1,116.2,2605.7,1,108.8,3040.8,1,150.3,2665.2,1,105.3,1432.5,1,
pick_up_the_butter_and_place_it_in_the_basket,13,1,1.0000,808.2,13758.7,662,15538.2,113.6,81.1,1,105.0,1350.6,1,111.6,3112.9,1,105.2,2396.5,1,108.2,2761.4,1,159.4,2618.7,1,105.2,1437.4,1,
pick_up_the_butter_and_place_it_in_the_basket,14,1,1.0000,841.2,14109.7,677,15964.7,138.8,98.4,1,113.4,1342.1,1,113.7,3227.4,1,106.6,2460.0,1,112.6,2774.4,1,152.3,2781.7,1,103.9,1425.7,1,
pick_up_the_butter_and_place_it_in_the_basket,15,1,1.0000,843.9,14842.8,698,16726.2,118.8,90.2,1,111.4,2272.1,1,111.4,2910.5,1,108.3,2079.7,1,124.5,3341.4,1,152.2,2737.7,1,117.2,1411.2,1,
pick_up_the_butter_and_place_it_in_the_basket,16,1,1.0000,852.5,14928.6,687,16802.8,119.2,90.3,1,110.6,1726.7,1,126.0,3338.8,1,132.1,2545.7,1,106.9,3090.2,1,148.3,2639.2,1,109.4,1497.7,1,
pick_up_the_butter_and_place_it_in_the_basket,17,1,1.0000,806.3,14182.4,679,15945.6,111.6,80.8,1,105.5,1691.5,1,106.3,2969.9,1,114.6,2247.6,1,108.3,2846.4,1,146.2,2902.8,1,113.8,1443.6,1,
pick_up_the_butter_and_place_it_in_the_basket,18,1,1.0000,849.8,15854.1,733,17706.9,111.6,80.8,1,103.6,2311.3,1,105.8,3172.8,1,132.8,2416.2,1,119.6,3794.7,1,167.8,2679.4,1,108.6,1398.8,1,
pick_up_the_butter_and_place_it_in_the_basket,19,1,1.0000,823.2,14600.6,699,16410.3,117.8,89.6,1,108.4,1411.2,1,107.3,3245.5,1,111.6,2535.6,1,117.0,2909.1,1,155.7,2929.7,1,105.5,1479.8,1,
pick_up_the_butter_and_place_it_in_the_basket,20,1,1.0000,815.9,15722.4,756,17523.6,122.3,92.3,1,110.8,2395.5,1,108.7,3012.7,1,106.2,2345.0,1,109.8,3587.6,1,151.6,2850.6,1,106.6,1438.6,1,
pick_up_the_butter_and_place_it_in_the_basket,21,1,1.0000,828.9,14350.0,693,16137.0,123.9,89.1,1,112.4,1810.5,1,112.9,2988.9,1,104.8,2337.6,1,107.6,3099.5,1,161.7,2599.0,1,105.6,1425.3,1,
pick_up_the_butter_and_place_it_in_the_basket,22,1,1.0000,888.5,15481.5,717,17372.7,138.1,97.9,1,131.5,2266.1,1,111.3,3001.0,1,106.6,2322.2,1,108.9,3424.0,1,169.6,2796.7,1,122.5,1573.6,1,
pick_up_the_butter_and_place_it_in_the_basket,23,1,1.0000,873.6,15743.0,738,17629.1,119.6,89.3,1,111.1,1691.7,1,112.7,3466.2,1,113.0,2826.6,1,105.7,3812.3,1,180.3,2478.9,1,131.0,1378.0,1,
pick_up_the_butter_and_place_it_in_the_basket,24,1,1.0000,811.3,15071.0,721,16845.6,114.1,80.9,1,106.2,2155.6,1,111.3,2983.5,1,108.4,2297.5,1,105.4,3254.9,1,157.7,2831.1,1,108.2,1467.5,1,
pick_up_the_butter_and_place_it_in_the_basket,25,1,1.0000,816.0,13980.0,678,15766.2,118.1,88.6,1,109.7,1506.8,1,106.1,3030.5,1,109.9,2345.5,1,105.5,2791.5,1,163.2,2802.2,1,103.5,1414.9,1,
pick_up_the_butter_and_place_it_in_the_basket,26,1,1.0000,862.5,14999.0,695,16884.8,119.6,91.6,1,111.4,1483.3,1,111.6,3295.7,1,105.2,2623.6,1,112.4,2966.0,1,171.5,2963.3,1,130.7,1575.6,1,
pick_up_the_butter_and_place_it_in_the_basket,27,1,1.0000,954.1,15745.0,700,17866.2,127.6,88.3,1,120.7,2072.3,1,124.8,3242.1,1,162.3,2349.6,1,120.3,3365.9,1,174.9,3030.5,1,123.5,1596.4,1,
pick_up_the_butter_and_place_it_in_the_basket,28,1,1.0000,879.5,14741.7,701,16606.2,130.3,88.0,1,120.3,2158.2,1,126.9,3061.6,1,114.5,2220.8,1,103.4,3214.1,1,159.3,2551.9,1,124.8,1447.1,1,
pick_up_the_butter_and_place_it_in_the_basket,29,1,1.0000,839.2,14593.6,693,16443.5,120.8,90.4,1,111.7,1879.6,1,109.8,3043.3,1,114.1,2211.7,1,109.2,2967.9,1,158.8,2914.2,1,114.8,1486.3,1,
pick_up_the_butter_and_place_it_in_the_basket,30,1,1.0000,942.4,15704.4,696,17724.7,140.5,87.8,1,123.2,1883.1,1,122.5,3395.3,1,131.8,2490.5,1,124.8,3412.2,1,172.7,2846.9,1,126.8,1588.6,1,
pick_up_the_butter_and_place_it_in_the_basket,31,1,1.0000,839.4,15194.8,734,17015.5,117.6,112.9,1,105.4,2203.3,1,127.6,3150.9,1,114.8,2353.7,1,105.0,3256.9,1,158.5,2698.6,1,110.7,1418.5,1,
pick_up_the_butter_and_place_it_in_the_basket,32,1,1.0000,822.1,14472.6,698,16278.3,114.3,80.4,1,106.3,2274.2,1,104.7,2916.5,1,114.7,2061.7,1,104.1,3180.3,1,165.0,2539.5,1,113.1,1420.0,1,
pick_up_the_butter_and_place_it_in_the_basket,33,1,1.0000,843.4,15508.6,742,17333.2,142.7,89.6,1,110.2,1929.6,1,106.0,3266.5,1,113.7,2529.2,1,103.2,3675.3,1,159.5,2620.4,1,108.1,1397.9,1,
pick_up_the_butter_and_place_it_in_the_basket,34,1,1.0000,859.1,15926.0,740,17862.2,112.8,86.4,1,123.5,1732.4,1,105.0,3691.7,1,123.5,2784.6,1,100.8,3645.1,1,169.7,2460.8,1,124.0,1525.1,1,
pick_up_the_butter_and_place_it_in_the_basket,35,1,1.0000,822.3,15144.0,726,16967.9,119.5,89.9,1,111.6,2057.1,1,109.1,3191.0,1,112.3,2324.9,1,106.0,3283.7,1,162.0,2742.1,1,101.8,1455.3,1,
pick_up_the_butter_and_place_it_in_the_basket,36,1,1.0000,887.7,14805.6,706,16715.9,118.5,89.9,1,111.4,2127.3,1,165.2,3008.7,1,108.2,2273.7,1,109.6,3322.5,1,164.3,2572.2,1,110.6,1411.4,1,
