task,init_index,success,completion_rate,total_plan_ms,total_exec_ms,total_steps,wall_ms,seg0_plan_ms,seg0_exec_ms,seg0_ok,seg1_plan_ms,seg1_exec_ms,seg1_ok,seg2_plan_ms,seg2_exec_ms,seg2_ok,seg3_plan_ms,seg3_exec_ms,seg3_ok,seg4_plan_ms,seg4_exec_ms,seg4_ok,seg5_plan_ms,seg5_exec_ms,seg5_ok,seg6_plan_ms,seg6_exec_ms,seg6_ok,fail_reason
pick_up_the_cream_cheese_and_place_it_in_the_basket,0,1,1.0000,8247.4,13878.0,645,23101.4,7572.0,85.0,1,107.7,1686.7,1,108.3,3265.4,1,117.2,2330.8,1,117.3,2293.5,1,113.4,2651.2,1,111.5,1565.4,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,1,1,1.0000,903.6,14731.0,665,16719.3,133.4,90.0,1,126.5,2157.4,1,112.9,3163.1,1,135.1,2361.0,1,125.1,2818.7,1,154.7,2700.7,1,115.8,1440.0,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,2,1,1.0000,861.5,15340.0,717,17233.1,123.8,98.1,1,109.7,3331.4,1,117.2,2755.5,1,111.0,2020.6,1,107.8,2598.6,1,167.3,3061.6,1,124.6,1474.2,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,3,1,1.0000,905.0,14423.2,671,16326.1,137.8,99.2,1,128.5,2518.0,1,137.7,2922.4,1,118.4,2102.0,1,107.2,2442.0,1,159.3,2847.7,1,116.1,1491.8,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,4,1,1.0000,819.4,17256.3,815,19077.2,118.7,92.0,1,113.6,5059.0,1,114.7,2740.2,1,105.0,1953.6,1,104.1,3120.5,1,156.6,2791.5,1,106.8,1499.5,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,5,1,1.0000,836.8,14385.9,679,16274.2,115.4,83.4,1,103.5,3024.7,1,143.6,2808.2,1,106.2,2036.1,1,104.0,2132.7,1,157.4,2819.6,1,106.7,1481.1,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,6,1,1.0000,792.4,14732.1,704,16521.8,108.4,82.7,1,99.1,3145.4,1,111.7,2821.0,1,108.0,2013.5,1,108.6,2440.9,1,145.4,2759.1,1,111.2,1469.5,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,7,1,1.0000,817.9,14079.2,664,15899.0,113.6,82.1,1,105.2,1709.0,1,108.2,3116.6,1,114.1,2368.8,1,110.9,2423.4,1,153.6,2861.4,1,112.3,1517.9,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,8,1,1.0000,803.8,14998.7,708,16806.3,110.6,81.9,1,100.0,2810.6,1,108.0,2849.1,1,105.7,2037.2,1,114.1,2852.4,1,160.6,2862.4,1,104.9,1505.1,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,9,1,1.0000,886.4,15759.9,735,17648.3,121.8,98.4,1,118.9,3646.6,1,142.9,2779.7,1,114.6,2048.6,1,109.1,2799.9,1,170.8,2865.1,1,108.3,1521.8,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,10,1,1.0000,805.6,14586.1,692,16399.2,116.9,92.0,1,108.8,2586.4,1,108.2,2911.3,1,105.3,2058.5,1,110.3,2630.4,1,147.3,2791.4,1,108.7,1516.1,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,11,1,1.0000,837.9,14094.4,655,15960.9,111.7,83.7,1,104.5,2008.4,1,110.0,3053.0,1,114.1,2226.3,1,105.8,2441.8,1,176.3,2753.7,1,115.5,1527.6,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,12,1,1.0000,883.9,15781.2,716,17735.4,120.5,91.7,1,109.5,3353.7,1,110.3,2762.6,1,120.8,2165.8,1,123.0,2717.7,1,171.9,3085.3,1,127.9,1604.4,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,13,1,1.0000,834.4,13589.4,647,15432.3,120.1,93.7,1,112.7,1748.6,1,109.6,3067.2,1,112.7,2335.9,1,105.3,1977.0,1,161.1,2868.8,1,112.8,1498.3,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,14,1,1.0000,866.3,14332.7,680,16231.6,112.3,82.7,1,105.2,1901.5,1,109.9,2994.6,1,104.0,2249.1,1,108.0,2759.2,1,168.8,2860.5,1,158.2,1485.2,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,15,1,1.0000,828.5,14790.2,706,16676.6,122.1,91.1,1,108.9,2561.2,1,120.9,2913.5,1,106.4,2068.1,1,108.5,2894.7,1,156.8,2841.6,1,104.8,1420.1,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,16,1,1.0000,942.6,14894.1,709,16800.1,116.8,92.2,1,107.0,3263.5,1,149.5,2744.9,1,104.6,2037.8,1,108.3,2401.0,1,167.3,2887.7,1,189.2,1467.1,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,17,1,1.0000,844.6,13787.0,652,15624.9,121.0,93.0,1,114.8,1791.3,1,111.5,3085.7,1,106.3,2336.3,1,111.8,2141.1,1,171.0,2754.6,1,108.1,1585.1,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,18,1,1.0000,819.2,14184.1,681,16015.5,115.3,109.6,1,104.9,2935.2,1,111.7,2718.1,1,106.0,1973.8,1,105.7,2109.4,1,161.0,2829.4,1,114.5,1508.6,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,19,1,1.0000,931.9,16762.8,736,18771.6,152.3,92.8,1,121.9,4022.8,1,124.0,2955.0,1,127.0,2098.1,1,121.7,3020.3,1,171.4,3085.2,1,113.6,1488.7,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,20,1,1.0000,921.9,14695.9,653,16656.0,145.6,91.6,1,120.4,1735.1,1,124.4,3417.1,1,132.0,2509.6,1,123.4,2479.7,1,160.8,2893.9,1,115.4,1568.9,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,21,1,1.0000,825.3,14152.3,668,16010.7,115.1,82.6,1,106.1,1688.4,1,106.8,3089.2,1,115.3,2280.0,1,107.0,2644.5,1,160.6,2847.6,1,114.4,1519.9,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,22,1,1.0000,837.6,14921.4,713,16737.5,123.8,92.1,1,113.6,3321.9,1,112.8,2715.4,1,111.8,1984.7,1,103.8,2426.3,1,159.6,2853.1,1,112.2,1527.9,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,23,1,1.0000,848.7,15194.2,733,17021.0,161.6,83.1,1,101.7,3528.3,1,112.7,2701.8,1,102.6,1968.4,1,107.3,2663.9,1,157.4,2823.4,1,105.5,1425.4,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,24,1,1.0000,894.4,14697.6,696,16579.5,112.1,82.2,1,157.3,2692.9,1,112.2,2913.3,1,115.4,2135.0,1,117.9,2595.8,1,165.6,2835.9,1,113.9,1442.5,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,25,1,1.0000,888.6,14294.3,681,16194.6,167.4,93.1,1,113.6,2258.0,1,121.6,2942.0,1,109.2,2178.3,1,110.4,2554.5,1,154.6,2835.6,1,111.8,1432.8,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,26,1,1.0000,848.9,15040.4,698,16905.4,113.2,82.4,1,101.8,2800.4,1,111.5,2843.1,1,109.7,2088.6,1,106.4,2544.3,1,175.4,3087.3,1,131.0,1594.3,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,27,1,1.0000,796.6,14123.5,678,15922.0,116.5,84.6,1,105.2,2670.5,1,111.4,2902.4,1,107.0,2116.2,1,114.4,2426.8,1,136.1,2485.0,1,105.9,1438.0,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,28,1,1.0000,838.7,14508.0,684,16343.6,120.5,92.5,1,115.6,2564.1,1,109.6,2983.7,1,116.0,2071.6,1,108.8,2535.9,1,154.7,2826.4,1,113.6,1433.7,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,29,1,1.0000,818.7,14195.4,671,16001.0,113.5,82.1,1,103.7,1785.0,1,109.4,3099.5,1,110.5,2270.0,1,105.5,2645.3,1,170.4,2843.9,1,105.7,1469.7,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,30,1,1.0000,824.2,14126.5,659,15949.8,119.2,84.0,1,105.2,1788.7,1,104.8,3143.1,1,111.0,2382.8,1,105.3,2344.1,1,171.4,2927.3,1,107.4,1456.5,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,31,1,1.0000,824.6,14666.9,688,16499.0,117.4,96.1,1,112.2,2484.8,1,111.5,2941.1,1,105.1,2113.1,1,110.6,3004.4,1,161.7,2546.8,1,106.2,1480.5,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,32,1,1.0000,840.8,14755.4,675,16596.1,113.1,83.7,1,105.3,2068.8,1,109.4,3243.6,1,125.0,2354.2,1,118.3,2950.6,1,156.1,2608.4,1,113.5,1446.0,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,33,1,1.0000,826.8,15103.7,711,16934.4,118.4,91.7,1,107.4,3067.5,1,113.6,2829.8,1,106.6,2053.4,1,109.8,2794.2,1,165.7,2819.9,1,105.4,1447.1,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,34,1,1.0000,902.6,15746.1,722,17677.8,122.9,94.6,1,121.4,3537.3,1,112.1,2974.0,1,123.5,2214.7,1,149.4,2598.4,1,157.5,2831.2,1,115.8,1496.0,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,35,1,1.0000,825.8,14663.6,701,16453.4,119.6,94.0,1,110.6,2850.2,1,115.9,2789.8,1,104.5,2037.4,1,104.6,2576.7,1,157.4,2870.4,1,113.2,1445.1,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,36,1,1.0000,896.0,15098.1,694,16997.3,119.4,91.9,1,109.9,2288.4,1,114.6,3045.1,1,109.4,2121.6,1,104.1,2868.3,1,172.6,3084.9,1,165.9,1597.8,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,37,1,1.0000,905.0,15268.3,677,17252.5,115.4,82.6,1,100.3,3001.3,1,129.7,3102.5,1,141.5,2230.9,1,122.6,2196.4,1,164.6,3072.5,1,131.0,1582.0,1,
pick_up_the_cream_cheese_and_place_it_in_the_basket,38,1,1.0000,842.0,15190.9,701,17046.8,111.9,82.1,1,101.9,3176.2,1,108.2,2805.2,1,107.4,2117.8,1,116.3,2278.5,1,171.2,3107.1,1,125.1,1624.1,1,
