task,init_index,success,completion_rate,total_plan_ms,total_exec_ms,total_steps,wall_ms,seg0_plan_ms,seg0_exec_ms,seg0_ok,seg1_plan_ms,seg1_exec_ms,seg1_ok,seg2_plan_ms,seg2_exec_ms,seg2_ok,seg3_plan_ms,seg3_exec_ms,seg3_ok,seg4_plan_ms,seg4_exec_ms,seg4_ok,seg5_plan_ms,seg5_exec_ms,seg5_ok,seg6_plan_ms,seg6_exec_ms,seg6_ok,fail_reason
pick_up_the_salad_dressing_and_place_it_in_the_basket,0,1,1.0000,7927.6,13942.9,628,22933.8,7278.8,86.1,1,112.1,1944.5,1,105.2,2683.7,1,108.7,1646.0,1,111.7,2786.3,1,106.9,3432.4,1,104.2,1363.8,1,
pick_up_the_salad_dressing_and_place_it_in_the_basket,1,1,1.0000,837.5,14915.2,662,16882.3,123.2,93.7,1,108.4,3241.7,1,166.6,2565.4,1,114.2,1538.0,1,104.8,2569.8,1,105.8,3577.7,1,114.5,1328.9,1,
pick_up_the_salad_dressing_and_place_it_in_the_basket,2,1,1.0000,848.3,13804.4,614,15764.9,116.5,94.5,1,110.7,1601.5,1,151.0,2845.0,1,107.0,1719.6,1,144.3,2708.7,1,105.7,3423.4,1,113.1,1411.6,1,
pick_up_the_salad_dressing_and_place_it_in_the_basket,3,1,1.0000,810.8,15074.2,658,17015.5,113.1,83.7,1,108.8,2838.3,1,162.1,2769.6,1,104.4,1692.2,1,106.3,2840.6,1,110.9,3502.1,1,105.1,1347.8,1,
pick_up_the_salad_dressing_and_place_it_in_the_basket,4,1,1.0000,858.1,13842.9,617,15812.1,108.8,84.9,1,103.6,2161.5,1,167.4,2685.5,1,129.4,1609.9,1,103.8,2474.5,1,130.2,3438.0,1,114.9,1388.5,1,
pick_up_the_salad_dressing_and_place_it_in_the_basket,5,1,1.0000,884.6,14395.8,637,16385.4,119.0,92.4,1,109.4,2044.0,1,156.1,2777.4,1,111.7,1664.2,1,133.7,2942.6,1,139.2,3484.2,1,115.5,1391.0,1,
pick_up_the_salad_dressing_and_place_it_in_the_basket,6,1,1.0000,837.5,14666.2,641,16608.6,112.9,94.0,1,110.6,2753.9,1,177.5,2800.7,1,105.5,1625.1,1,107.2,2567.8,1,117.1,3447.9,1,106.7,1376.9,1,
pick_up_the_salad_dressing_and_place_it_in_the_basket,7,1,1.0000,820.1,15029.2,657,17033.3,119.6,93.3,1,110.4,2919.6,1,159.5,2688.4,1,105.2,1646.3,1,103.8,2832.1,1,115.4,3456.2,1,106.2,1393.2,1,
pick_up_the_salad_dressing_and_place_it_in_the_basket,8,1,1.0000,845.9,14446.5,644,16381.4,116.7,87.3,1,108.5,1923.8,1,166.3,2790.4,1,107.9,1680.4,1,109.0,3209.0,1,106.9,3399.6,1,130.7,1355.9,1,
pick_up_the_salad_dressing_and_place_it_in_the_basket,9,1,1.0000,877.4,14034.3,620,16030.1,115.6,93.1,1,107.8,2107.2,1,157.6,2834.8,1,127.7,1628.5,1,148.5,2555.9,1,111.2,3418.3,1,109.0,1396.7,1,
